,en,zh,es,hi,ar,pt,ru,ja,jv,de,ko,fr,te,it,tl
our,Our,我们的,Nuestro,हमारी,لنا,Nosso,Наш,私たちの,Kita,Unsere,우리의,Notre,మా,I nostri,ATING
one,One,一,Uno,एक,واحد,1,Один,一つ,Siji,Einer,하나,Une,ఒకటి,Uno,One.
other,Other,其他,Otro,अन्य,آخر,De outros,Другой,他の,Liyane,Sonstiges,다른,Autre,ఇతర,Altro,Other.
do,Do,做,Hacer,करना,يفعل,Fazer,Делать,行う,Tindakake,Tun,하다,Faire,Do,Fare,Do.
no,No,不,No,नहीं,لا,Não,Нет,番号,Ora,Nein,아니요,Non,లేదు,No,Hindi
information,Information,信息,Información,जानकारी,معلومة,Em formação,Информация,情報,Informasi,Information,정보,Informations,సమాచారం,Informazione,Impormasyon
time,Time,时间,Tiempo,समय,زمن,Tempo,Время,時間,Wektu,Zeit,시간,Temps,సమయము,Tempo,Oras
they,They,他们,Ellos,वे,أنهم,Elas,Они,彼ら,Dheweke,Sie,그들,Ils,వాళ్ళు,Essi,Sila
site,Site,地点,Sitio,स्थल,موقع,Local,Сайт,サイト,Situs,Seite? ˅,대지,Placer,సైట్,Posto,Lugar
he,He,他,Él,वह,هو,Ele,Он,彼,Dheweke,Er,그,Il,అతను,Lui,He.
up,Up,向上,Hasta,यूपी,فوق,Acima,Вверх,上,Munggah,Hoch,위로,En haut,UP,Su,Pataas
may,May,可能,Mayo,मई,قد,Poderia,Может,5月,Mei,Kann,할 수있다,Peut,మే,Maggio,Mayo
what,What,什么,Qué,क्या,ماذا او ما,O que,Какие,何,Apa,Was,뭐,Quoi,ఏది?,Che cosa,Ano
which,Which,哪一个,Cuales,कौन,أي,Que,Который,どれの,Kang,Welcher,어느,Lequel,ఇది,Quale,Alin
their,Their,他们的,Su,उनका,هم,Seus,Их,彼らの,Dheweke,Ihr,그들의,Leur,వారి,I loro,Kanilang
news,News,消息,Noticias,समाचार,أخبار,Notícia,Новости,ニュース,Warta,Nachrichten,소식,Nouvelles,వార్తలు,Notizia,Balita
out,Out,出去,Fuera,बाहर,خارج,Fora,Из,外,Metu,aus,밖,Dehors,అవుట్,Fuori,Out.
use,Use,用,Usar,उपयोग,يستخدم,Usar,Использовать,使用する,Gunakake,Verwenden,사용하다,Utilisation,వా డు,Utilizzo,Paggamit
any,Any,任何,Alguna,कोई भी,أي,Algum,Любой,どれでも,Sembarang,Irgendein,어느,Tout,ఏదైనా,Qualunque,Sinuman
there,There,那里,Allí,वहां,هناك,Lá,Там,三,Ana,Dort,거기,Là,అక్కడ,Là,Doon
see,See,看,Ver,देखो,ارى,Ver,Видеть,見る,Ndeleng,Sehen,보다,Voir,చూడండి,Vedere,Tingnan
only,Only,只要,Solamente,केवल,فقط,Somente,Только,それだけ,Mung,Nur,오직,Seul,మాత్రమే,Soltanto,Lamang
so,So,所以,Entonces,इसलिए,وبالتالي,Então,Так,そう,Dadi,So,그래서,Donc,కాబట్టి,Così,So.
his,His,他的,Su,उनके,له,Seu,Его,彼の,Dheweke,Seine,그의,Le sien,తన,Il suo,Kanyang
when,When,什么时候,Cuando,कब,متي,Quando,Когда,いつ,Nalika,Wann,언제,Lorsque,ఎప్పుడు,quando,Kailan
contact,Contact,接触,Contacto,संपर्क,اتصل,Contato,Контакт,コンタクト,Hubungi,Kontakt,연락하다,Contact,సంప్రదించండి,Contatto,Makipag-ugnay sa
here,Here,这里,Aquí,यहां,هنا,Aqui,Здесь,ここ,Ing kene,Hier,여기,Ici,ఇక్కడ,Qui,Dito
business,Business,商业,Negocio,व्यापार,عمل,O negócio,Бизнес,仕事,Bisnis,Unternehmen,사업,Entreprise,వ్యాపార,Attività commerciale,Negosyo
who,Who,WHO,OMS,कौन,من الذى,Quem,Кто,誰,Who,Wer,누구,Qui,Who,Chi,Sino
web,Web,网页,Web,वेब,ويب,Rede,Паутина,ウェブ,Web,Netz,편물,la toile,వెబ్,ragnatela,Web.
also,Also,还,También,भी,أيضا,Também,Также,また,Uga,Ebenfalls,또한,Aussi,అలాగే,Anche,Din
now,Now,现在,Ahora,अभी,حاليا,Agora,Теперь,今,Saiki,Jetzt,지금,Maintenant,ఇప్పుడు,Ora,Ngayon
help,Help,帮助,Ayudar,मदद,يساعد,Ajuda,Помощь,ヘルプ,Pitulung,Hilfe,돕다,Aider,సహాయం,Aiuto,Tulong
get,Get,得到,Obtener,पाना,احصل على,Pegue,Получать,取得する,Entuk,Werden,얻다,Avoir,పొందు,Ottenere,Get.
pm,Pm,下午,Pm,बजे,مساء,PM,Вечера,pm,PM,PM,오후,Pm,Pm.,Pm,PM.
view,View,看法,Vista,राय,رأي,Visualizar,Вид,意見,Deleng,Sicht,보다,Vue,వీక్షణ,Visualizzazione,View.
online,Online,在线的,En línea,ऑनलाइन,متصل,Conectados,онлайн,オンライン,Online,Online,온라인으로,En ligne,ఆన్లైన్,in linea,Online
c,C,C,C,सी,جيم,C.,Слияние,NS,C,C,씨,C,C.,C,C.
e,E,E.,mi,इ,هيا,E.,Свидетельствовать,e.,E,E.,이자형,E,E.,E.,E.
first,First,第一的,Primero,प्रथम,أولا,Primeiro,Первый,初め,Pisanan,Zuerst,첫 번째,D'abord,ప్రధమ,Primo,Una
am,Am,是,Soy,पूर्वाह्न,أكون,Sou,Являюсь,午前,Am,Bin,오전,Un m,Am.,Sono,Am
been,Been,是,Estado,गया,كان,Estive,Был,その間,Wis,Gewesen,계속 ~이다,Été,ఉంది,Stato,Naging
would,Would,将,haría,चाहेंगे,سيكون,Seria,Бы,NS,Bakal,Möchten,일 것이다,Aurait,సంభాషణ,Voluto,Gusto
how,How,如何,Cómo,कैसे,كيف,Quão,Как,どのように,Kepiye,Wie,어떻게,Comment,ఎలా,Come,Paano
were,Were,是,Fueron,थे,كانت,Eram,Мы,そうだった,Ana,Wurden,이었다,Étaient,ఉన్నాయి,Erano,Ay
me,Me,我,Me,मैं,أنا,Mim,Мне,自分,Kula,Mir,나,Moi,నన్ను,Me,Ako
s,S,S.,S,एस,س,S.,С,NS,S,S,NS,S,S.,S,S.
services,Services,服务,Servicios,सेवाएं,خدمات,Serviços,Услуги,サービス,Layanan,Dienstleistungen,서비스,Prestations de service,సేవలు,Servizi,Mga serbisyo
some,Some,一些,Algunos,कुछ,بعض,Algum,Некоторые,いくつか,Sawetara,Etwas,일부,Certains,కొంతమంది,Alcuni,Ilan
these,These,这些,Estas,इन,هؤلاء,Esses,Эти,これらは,Iki,Diese,이것들,Ces,వీటిలో,Queste,Ito
click,Click,点击,Hacer clic,क्लिक,انقر,Clique,Щелчок,クリック,Klik,Klicken,딸깍 하는 소리,Cliquez sur,క్లిక్ చేయండి,Clic,Click.
its,Its,它的,Su,इसका,إنه,Seu,Его,これは,Its,Es ist,그것의,Son,దీని,Suo,Nito
like,Like,喜欢,Igual que,पसंद,يحب,Gostar,Нравиться,お気に入り,Kaya,Mögen,좋다,Comme,ఇష్టం,Piace,Gusto
service,Service,服务,Servicio,सेवा,خدمة,Serviço,Услуга,サービス,Layanan,Service,서비스,Service,సేవ,Servizio,Serbisyo
x,X,X,X,एक्स,عاشر,X.,Икс,NS,X,x,NS,X,X.,X,X.
than,Than,比,Que,से,من,Que,Чем,よりも,Saka,Als,보다,Que,కంటే,Di,Kaysa
find,Find,找,Encontrar,पाना,تجد,Achar,Находить,探す,Temokake,Finden,찾다,Trouve,కనుగొను,Trova,Hanapin
price,Price,价钱,Precio,कीमत,سعر,Preço,Цена,価格,Regane,Preis,가격,Prix,ధర,Prezzo,Presyo
date,Date,日期,Fecha,दिनांक,تاريخ,Encontro,Дата,日にち,Tanggal,Datum,날짜,Date,తేదీ,Data,Petsa
back,Back,背部,atrás,वापस,خلف,Voltar,Назад,戻る,Mbalik,Zurück,뒤,Arrière,వెనుకవైపు,Di ritorno,Pabalik
top,Top,最佳,Cima,शीर्ष,قمة,Principal,верхний,上,Ndhuwur,Oberteil,맨 위,Sommet,టాప్,Superiore,Top.
people,People,人们,Gente,लोग,الناس,Pessoas,Люди,人,Wong,Personen,사람들,Personnes,ప్రజలు,Le persone,Mga tao
had,Had,有,Tenía,था,كان,Teve,Было,持っていました,Wis,Hatte,가졌다,Eu,వచ్చింది,Aveva,Nagkaroon
list,List,列表,Lista,सूची,قائمة,Lista,Список,リスト,Dhaptar,Aufführen,목록,Lister,జాబితా,Elenco,Listahan
name,Name,姓名,Nombre,नाम,اسم,Nome,Имя,名前,Jeneng,Name,이름,Nom,పేరు,Nome,Pangalan
just,Just,只是,Solo,अभी - अभी,مجرد,Somente,Просто,ただ,Mung,Gerade,단지,Seulement,కేవలం,Solo,Lamang
over,Over,超过,Sobre,ऊपर,على,Sobre,Над,以上,Liwat,Über,위에,Plus de,Ever.,Terminato,Over
state,State,状态,Estado,राज्य,ولاية,Estado,Состояние,州,Negara,Bundesland,상태,État,రాష్ట్ర,Stato,Estado.
year,Year,年,Año,वर्ष,عام,Ano,Год,年,Taun,Jahr,년도,Année,సంవత్సరం,Anno,Taon
day,Day,日,Día,दिन,يوم,Dia,День,日,Dina,Tag,일,Jour,రోజు,Giorno,Araw
into,Into,进入,Dentro,में,إلى,Em,В,の中へ,Menyang,Hinein,안으로,Dans,ఇంటు,In,Sa.
email,Email,电子邮件,Correo electrónico,ईमेल,بريد الالكتروني,O email,Эл. адрес,Eメール,Email,Email,이메일,E-mail,ఇమెయిల్,E-mail,Email
two,Two,二,Dos,दो,اثنين,Dois,Два,二,Loro,Zwei,둘,Deux,రెండు,Due,Dalawa
health,Health,健康,Salud,स्वास्थ्य,الصحة,Saúde,Здоровье,健康,Kesehatan,Gesundheit,건강,Santé,ఆరోగ్యము,Salute,Kalusugan
n,N,N,norte,एन,ن,N.,N.,NS,N,n,N,N,N.,n,N.
world,World,世界,Mundo,दुनिया,العالمية,Mundo,Мир,世界,Donya,Welt,세계,Monde,ప్రపంచ నది,Mondo,Mundo
re,Re,关于,Re,पुनः,إعادة,Ré,Решающее значение,NS,Re,Betreff,답장,Ré,Re.,Rif,Re.
next,Next,下一个,próximo,अगला,التالي,Próximo,Следующий,次,Sabanjure,Nächste,다음,Prochain,తరువాత,Prossimo,Susunod
used,Used,用过的,Usó,उपयोग किया गया,مستخدم,Usado,Использовал,中古,Digunakake,Gebraucht,사용 된,Utilisé,ఉపయోగించబడిన,Usato,Ginamit
go,Go,走,Ir,जाना,يذهب,Ir,Идти,行け,Lunga,gehen,가다,Aller,వెళ్ళండి,andare,Go.
b,B,B.,B,बी,ب,B.,Преступник,NS,B,B,NS,B,B.,B,B.
work,Work,工作,Trabaja,काम,عمل,Trabalhar,Работа,仕事,Nyambut gawe,Arbeit,일하다,Travail,పని,Opera,Trabaho
last,Last,最后的,Último,अंतिम,الاخير,Último,Последний,最後,Pungkasan,Zuletzt,마지막,Durer,చివరిది,Scorso,Huling
most,Most,最多,La mayoría,अधिकांश,عظم,Maioria,Самый,多くの,Paling,Die meisten,대부분,Plus,అత్యంత,Maggior parte,Karamihan
products,Products,产品,Productos,उत्पादों,منتجات,Produtos,Продукты,製品,Produk,Produkte,제품,Des produits,ఉత్పత్తులు,Prodotti,Mga produkto
music,Music,音乐,Música,संगीत,موسيقى,Música,Музыка,音楽,Musik,Musik,음악,Musique,సంగీతం,Musica,Musika
buy,Buy,买,Comprar,खरीदना,يشتري,Comprar,Купить,買う,Tuku,Besorgen,구입,Acheter,కొనుగోలు,Acquistare,Buy.
data,Data,数据,Datos,आंकड़े,البيانات,Dados,Данные,データ,Data,Daten,데이터,Données,సమాచారం,Dati,Data
make,Make,制作,Hacer,निर्माण,صنع,Faço,Делать,作る,Nggawe,Machen,만들다,Faire,మేకప్,Rendere,Gumawa ng
them,Them,他们,Ellos,उन्हें,معهم,Eles,Их,彼ら,Dheweke,Sie,그들을,Eux,వాటిని,Loro,Sila
should,Should,应该,Deberían,चाहिए,يجب,Deve,Должен,したほうがいい,Kudune,Sollen,해야한다,Devrait,తప్పనిసరిగా,Dovrebbe,Dapat
product,Product,产品,Producto,उत्पाद,المنتج,produtos,Продукт,製品,Produk,Produkt,제품,Produit,ఉత్పత్తి,Prodotto,Produkto
system,System,系统,Sistema,प्रणाली,نظام,Sistema,Система,システム,Sistem,System,체계,Système,వ్యవస్థ,Sistema,Sistema
post,Post,邮政,Correo,पद,بريد,Publicar,Почта,役職,Kirim,Post,우편,Poster,పోస్ట్,Inviare,Poste
her,Her,她,Ella,उसके,لها,Dela,Ее,彼女,Dheweke,Sie,그녀의,Sa,ఆమె,Sua,Her.
city,City,城市,Ciudad,शहर,مدينة,Cidade,Город,市,Kutha,Stadt,도시,Ville,నగరం,Città,Lungsod
t,T,T.,T,टी,ب,T.,Т,NS,T,T,NS,T,T.,T,T.
add,Add,添加,Agregar,जोड़ें,يضيف,Adicionar,Добавлять,追加,Tambah,Hinzufügen,추가하다,Ajouter,జోడించు,Aggiungere,Idagdag
policy,Policy,政策,Política,नीति,سياسة,Política,Политика,ポリシー,Kebijakan,Politik,정책,Politique,విధానం,Politica,Patakaran
number,Number,数字,Número,संख्या,عدد,Número,Число,番号,Nomer,Nummer,숫자,Nombre,సంఖ్య,Numero,Numero
such,Such,这样的,Tal,ऐसा,مثل,Tal,Такой,そのような,Kuwi,Eine solche,그런,Tel,అటువంటి,Tale,Ganito
please,Please,请,Por favor,कृपया,لو سمحت,Por favor,Пожалуйста,お願いします,Tulung,Bitte,제발,S'il te plaît,దయచేసి,Per favore,Pakiusap
available,Available,可用的,Disponible,उपलब्ध,متوفرة,Disponível,Доступный,利用可能,Kasedhiya,Erhältlich,사용 가능,Disponible,అందుబాటులో ఉంది,A disposizione,Magagamit
copyright,Copyright,版权,Derechos de autor,कॉपीराइट,حقوق النشر,direito autoral,авторское право,著作権,Hak Cipta,Urheberrechte ©,저작권,droits d'auteur,కాపీరైటు,Diritto d'autore,Copyright.
support,Support,支持,Apoyo,सहायता,الدعم,"Apoio, suporte",Служба поддержки,サポート,Dhukungan,Unterstützung,지원하다,Soutien,మద్దతు,Supporto,Suporta
message,Message,信息,Mensaje,संदेश,رسالة,Mensagem,Сообщение,メッセージ,Pesen,Nachricht,메세지,Un message,సందేశము,Messaggio,Mensahe.
after,After,后,Después,बाद में,بعد، بعدما,Depois de,После,後,Sawise,Nach,후에,Après,తర్వాత,Dopo,Pagkatapos
best,Best,最好的事物,Mejor,श्रेष्ठ,أفضل,Melhor,Лучший,一番,Paling apik,Am besten,최상의,Meilleur,బెస్ట్,Migliore,Pinakamahusay
software,Software,软件,Software,सॉफ्टवेयर,برمجة,Programas,Программное обеспечение,ソフトウェア,Piranti lunak,Software,소프트웨어,Logiciel,సాఫ్ట్వేర్,Software,Software.
then,Then,然后,Luego,फिर,ثم,Então,потом,それで,Banjur,Dann,그 다음에,Puis,అప్పుడు,Quindi,Pagkatapos
jan,Jan,1月,ene,जनवरी,في يناير,Janeiro,Январь,jan,Jan,Jan.,1 월,Jan,జనవరి,Gen,Enero
good,Good,好的,Bien,अच्छा,حسن,Boa,Хороший,良い,Apik,Gut,좋은,Bon,మంచిది,Bene,Mabuti
video,Video,视频,Video,वीडियो,فيديو,Vídeo,видео,ビデオ,Video,Video,동영상,Vidéo,వీడియో,video,Video.
well,Well,好,Bien,कुंआ,حسنا,Nós vamos,Хорошо,良い,Uga,Brunnen,잘,bien,వెల్లు,Bene,Well.
d,D,D.,D,डी,د,D.,Подразделение,NS,D,D,NS,ré,D.,D,D.
where,Where,在哪里,Dónde,कहा पे,أين,Onde,Где,どこ,Ngendi,Woher,어디에,Où,ఎక్కడ,In cui si,Saan
info,Info,信息,Información,जानकारी,معلومات,Informação,Информация,情報,Info,Die Info,정보,Info,సమాచారం,Informazioni,Info
rights,Rights,权,Derechos,अधिकार,حقوق,Direitos,Права,権利,Hak,Rechte,진상,Droits,హక్కులు,I diritti,Mga Karapatan
public,Public,民众,Público,सह लोक,عام,Público,Публичный,公衆,Umum,Öffentlich,공공의,Publique,ప్రజా,Pubblico,Pampubliko
books,Books,图书,Libros,पुस्तकें,كتب,Livros,Книги,本,Buku,Bücher,서적,Livres,పుస్తకాలు,Libri,Mga Libro
high,High,高的,Elevado,उच्च,عالي,Alto,Высокий,高い,Dhuwur,Hoch,높은,Haute,అధిక,Alto,Mataas
school,School,学校,Colegio,विद्यालय,مدرسة,Escola,Школа,学校,Sekolah,Schule,학교,L'école,పాఠశాల,Scuola,Paaralan
through,Through,通过,Mediante,होकर,عبر,Pela,Через,使って,Liwat,Durch,을 통해,Par,ద్వారా,Attraverso,Sa pamamagitan ng
m,M,m,METRO,एम,م,M.,М`,NS,M,m,미디엄,M,M.,m,M.
each,Each,每个,Cada,प्रत्येक,كل,Cada,Каждый,各,Saben,Jeder,각,Chaque,ప్రతి ఒక్కరూ,Ogni,Bawat isa
links,Links,链接,Enlaces,लिंक,روابط,Links.,Ссылки,リンク,Link,Links,연결,Liens,లింకులు,Collegamenti,Mga Links.
she,She,她,Ella,वह,هي,Ela,Она,彼女,Dheweke,Sie,그녀,Elle,ఆమె,Lei,She.
review,Review,审查,Revisar,समीक्षा,إعادة النظر,Análise,Рассмотрение,レビュー,Deleng maneh,Rezension,검토,Revoir,సమీక్ష,Recensione,Pagsusuri
years,Years,年,Años,वर्षों,سنوات,Anos,Годы,年,Taun,Jahre,연령,Années,సంవత్సరాల,Anni,Taon
order,Order,命令,Pedido,आदेश,ترتيب,Pedido,порядок,注文,Pesenan,Befehl,주문하다,Commander,క్రమంలో,Ordine,Utos
very,Very,非常,Muy,बहुत,جدا,Muito,Очень,とても,Banget,Sehr,매우,Très,చాలా,Molto,Tunay
privacy,Privacy,隐私,Intimidad,गोपनीयता,خصوصية,Privacidade,Конфиденциальность,プライバシー,Kebijakan,Privatsphäre,은둔,Intimité,గోప్యత,Privacy,Pagkapribado
book,Book,书,Libro,पुस्तक,الكتاب,Livro,Книга,本,Buku,Buch,책,Livre,పుస్తకం,Prenotare,Book.
items,Items,项目,Elementos,आइटम,العناصر,Itens,Предметы,アイテム,Item,Produkte,항목,Articles,అంశాలు,Elementi,Mga Item
company,Company,公司,Empresa,कंपनी,شركة,Empresa,Компания,会社,Perusahaan,Gesellschaft,회사,Société,సంస్థ,Società,Kumpanya
r,R,R.,R,आर,رديئة,R.,р,NS,R,R,NS,R,R.,R,R.
read,Read,读,Leer,पढ़ना,يقرأ,Leitura,Читать,読んだ,Waca,Lesen,읽다,Lire,చదవండి,Leggi,Basahin
group,Group,团体,Grupo,समूह,مجموعة,Grupo,Группа,グループ,Klompok,Gruppe,그룹,Grouper,సమూహం,Gruppo,Grupo
need,Need,需要,Necesitar,जरुरत,يحتاج,Necessidade,Необходимость,必要,Butuh,Brauchen,필요,Avoir besoin,అవసరము,Bisogno,Kailangan
many,Many,许多,Muchos,बहुत,عديدة,Muitos,Много,多くの,Akeh,Viele,많은,De nombreux,చాలామంది,Molti,Marami
user,User,用户,Usuario,उपयोगकर्ता,مستخدم,Do utilizador,Пользователь,ユーザー,Pangguna,Benutzer,사용자,Utilisateur,వాడుకరి,Utente,User
said,Said,说过,Dijo,कहा,قالت,Disse,Сказал,言った,Ujar,Genannt,말했다,Mentionné,చెప్పింది,Disse,Sinabi
de,De,德,Delaware,डे,في,De.,Департамент,デフ,De,Dach,준,De,De.,De.,DE.
does,Does,做,Lo hace,करता है,هل,Faz,Делает,NS,Apa,Tut,하다,Fait,చేస్తుంది,Fa,Ginagawa
set,Set,放,Colocar,सेट,يضع,Definir,Установленный,設定,Setel,Satz,세트,Régler,సమితి,Set,Itakda
under,Under,在下面,Debajo,अंतर्गत,تحت,Debaixo,Под,下,Ing ngisor,Unter,아래에,Sous,కింద,Sotto,Sa ilalim
general,General,一般的,General,आम,عام,Em geral,Общий,全般的,Umum,Allgemein,일반적인,Général,జనరల్,Generale,Pangkalahatan
research,Research,研究,Investigar,अनुसंधान,بحث,Pesquisar,Исследовать,リサーチ,Riset,Forschung,연구,Recherche,పరిశోధన,Ricerca,Pananaliksik
university,University,大学,Universidad,विश्वविद्यालय,جامعة,Universidade,Университет,大学,Universitas,Universität,대학교,Université,విశ్వవిద్యాలయ,Università,Unibersidad
january,January,一月,enero,जनवरी,كانون الثاني,Janeiro,Январь,1月,Januari,Januar,1 월,janvier,జనవరి,gennaio,Enero
mail,Mail,邮件,Correo,मेल,بريد,Correspondência,Почта,郵便,Layang,E-Mail,우편,Courrier,మెయిల్,Mail,Mail
full,Full,满的,Lleno,भरा हुआ,ممتلىء,Cheio,Полный,満杯,Kebak,Voll,가득한,Complet,పూర్తి,Completo,Puno na
map,Map,地图,Mapa,नक्शा,خريطة,Mapa,карта,地図,Peta,Karte,지도,Carte,మ్యాప్,Carta geografica,Mapa
reviews,Reviews,评论,Comentarios,समीक्षा,تقييم,Avaliações,Отзывы,レビュー,Ulasan,Rezensionen,리뷰,Commentaires,సమీక్షలు,Recensioni,Mga Review
program,Program,程序,Programa,कार्यक्रम,برنامج,Programa,Программа,プログラム,Program,Programm,프로그램,Programme,కార్యక్రమం,Programma,Programa
life,Life,生活,Vida,जिंदगी,حياة,Vida,Жизнь,人生,Urip,Leben,삶,La vie,లైఫ్.,Vita,Buhay
know,Know,知道,Saber,जानना,أعرف,Conhecer,Знать,知る,Ngerti,Kennt,알다,Savoir,తెలుసు,Conoscere,Alam
games,Games,游戏,Juegos,खेल,ألعاب,Jogos,Игра,ゲーム,Game,Spiele,계략,Jeux,ఆటలు,Giochi,Mga Laro
way,Way,道路,Camino,रास्ता,طريق,Caminho,Способ,仕方,Cara,Weg,방법,Manière,మార్గం,Modo,Paraan
days,Days,天,Dias,दिन,أيام,Dias,Дни,日々,Dina,Tage,날,Jours,రోజులు,Giorni,Araw
management,Management,管理,Gestión,प्रबंध,إدارة,Gestão,Управление,管理,Manajemen,Verwaltung,관리,La gestion,నిర్వహణ,Gestione,Pamamahala
p,P,P.,PAG,पी,ب,P.,п,NS,P,P,NS,P,P.,P,P.
part,Part,部分,Parte,भाग,جزء,Papel,Часть,部,Bagean,Teil,부분,Partie,భాగం,Parte,Bahagi
could,Could,可以,Podría,सकता है,استطاع,Poderia,Мог,たぶん......だろう,Bisa,Könnten,할 수 있었다,Pourrait,కాలేదు,Potevo,Maaari
great,Great,伟大的,Excelente,महान,رائعة,Excelente,Большой,素晴らしい,Gedhe,Groß,엄청난,Super,గొప్పది,Grande,Malaki
united,United,联合的,Unido,यूनाइटेड,المتحدة,Unido,United.,ユナイテッド,United,Vereinigt,유나이티드,Uni,యునైటెడ్,Unito,United.
